title,forma,manufacturer,image-src
"Сальбутамол-Натив р-р для ингаляций 0,8мг/мл 2,5мл","10 шт.","Натива, Россия","http://www.eapteka.ru/upload/offer_photo/251/476/resized/230_230_1.jpg"
"Лютеин-комплекс детский","таблетки 30 шт.","Валеант, Россия","http://www.eapteka.ru/upload/offer_photo/210/463/resized/230_230_1.jpg"
"Резолор","таблетки 1 мг, 28 шт.","Янссен-Силаг, Бельгия","http://www.eapteka.ru/upload/offer_photo/215/277/resized/230_230_1.jpg"
"Ипратерол-натив р-р для ингаляций 0,25мг/мл+0,5мг/мл","флакон-капельница 20мл 1шт.","Натива, Россия","http://www.eapteka.ru/upload/offer_photo/260/152/1.jpg"
"Аскорбиновая кислота","крутка арбуз, 10 шт.","Экофарм, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Допамин","ампулы 5мг/мл, 5 мл, 10 шт.","Биохимик Саранск, Россия","http://www.eapteka.ru/upload/offer_photo/212/734/1.jpg"
"Абилифай","таблетки 30 мг, 28 шт.","Бристол-Майерс Сквибб, США","http://www.eapteka.ru/upload/offer_photo/209/402/resized/230_230_1.jpg"
"Нэйчес Баунти Легкодоступное железо капсулы 60 шт.","упак.","Нэйчес Баунти, США","http://www.eapteka.ru/upload/offer_photo/264/976/1.jpg"
"Уродерм","мазь 30%, 10 г","Ретиноиды, Россия","http://www.eapteka.ru/upload/offer_photo/224/765/resized/230_230_1.jpg"
"Кламин","таблетки, 40 шт.","Фитолон, Россия","http://www.eapteka.ru/upload/offer_photo/205/363/resized/230_230_1.jpg"
"Форметин","таблетки 850 мг, 30 шт.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/220/276/1.jpg"
"ДжиЭнСи (GNC) Амино 3000 (Amino Burst 3000) таблетки 90 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/884/resized/230_230_1.jpg"
"Нифекард ХЛ таблетки с модиф.высв.покрыт.плен.об. 60 мг","30 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/207/217/1.jpg"
"Микотрин","крем для ног 40 мл","РеалКосметикс, Россия","http://www.eapteka.ru/upload/offer_photo/241/689/resized/230_230_1.jpg"
"Бронхипрет","сироп, 100 мл","Бионорика, Германия","http://www.eapteka.ru/upload/offer_photo/209/971/resized/230_230_1.jpg"
"Диротон","таблетки 10 мг, 14 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/204/235/1.gif"
"Озорит","капсулы 0,4 г 36 шт","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/267/829/resized/230_230_1.png"
"Тимолол-Акос","глазные капли 0,5%, 5 мл","Синтез АКОМП, Россия","http://www.eapteka.ru/upload/offer_photo/221/640/resized/230_230_1.jpg"
"Цитовир-3 порошок для приготовления раствора 20 г","упак.","Цитомед, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Экватор","таблетки 5+20 мг, 30 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/218/348/resized/230_230_1.jpg"
"Гидрохлортиазид","таблетки 25 мг, 20 шт.","Валента Фарма, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Аккузид","таблетки 20/25 мг, 30 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/210/419/resized/230_230_1.jpg"
"Хлорофиллипт","флаконы 1% , 100 мл","Вифитекс, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Рабелок","флаконы 20 мг, 1 шт.","Кадила, Индия","http://www.eapteka.ru/upload/offer_photo/226/902/1.jpg"
"Пари","таблетки 500 мг, 100 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/206/113/resized/230_230_1.jpg"
"Амоксициллин","таблетки 500 мг, 20 шт.","Барнаульский завод, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Презартан","таблетки 50 мг, 30 шт.","Ипка, Индия","http://www.eapteka.ru/upload/offer_photo/211/243/resized/230_230_1.jpg"
"Клопидогрел-СЗ","таблетки покрыт.плен.об. 75 мг, 14 шт.","Северная Звезда, Россия","http://www.eapteka.ru/upload/offer_photo/224/178/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Яблочный уксус (APPLE CIDER VINEGAR) таблетки 120 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/252/023/1.jpg"
"Флорин форте","пакетики 850 мг 30 шт.","Партнер, Россия","http://www.eapteka.ru/upload/offer_photo/211/433/resized/230_230_1.jpg"
"Амигренин","таблетки покрыт.плен.об. 100 мг, 2 шт.","Верофарм, Россия","http://www.eapteka.ru/upload/offer_photo/207/559/resized/230_230_1.jpg"
"Моксонитекс таблетки покрыт.плен.об. 400 мкг","14 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/222/069/resized/230_230_1.jpg"
"Тербизил","таблетки 250 мг, 14 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/206/064/resized/230_230_1.jpg"
"Авиоплант","капсулы, 10 шт.","Фитофарм, Польша","http://www.eapteka.ru/upload/offer_photo/223/708/resized/230_230_1.jpg"
"Зилаксера","таблетки 10 мг, 28 шт.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Полифепан","пакеты , 10 г , 10 шт.","Сайнтек, Россия","http://www.eapteka.ru/upload/offer_photo/113/860/resized/230_230_1.jpg"
"Имедин Менеджмент","таблетки, 60 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/221/624/resized/230_230_1.jpg"
"Арнигель","гель, 45 г","Буарон, Франция","http://www.eapteka.ru/upload/offer_photo/215/663/1.jpg"
"Желпластан","флакон 5 г, 1 шт.","НПО Танаис, Россия","http://www.eapteka.ru/upload/offer_photo/230/549/resized/230_230_1.png"
"Иресса","таблетки 250 мг, 30 шт.","АстраЗенека, Великобритания","http://www.eapteka.ru/upload/offer_photo/208/319/resized/230_230_1.gif"
"Нейролипон капсулы 300 мг 30 шт.","упак.","Фармак, Украина","http://www.eapteka.ru/upload/offer_photo/251/845/1.jpg"
"Зонегран","капсулы 50 мг, 28 шт.","Эйсай, Япония","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Дикуля гель-бальзам спортивный","тюбик, 100 мл","Фора Фарм, Россия","http://www.eapteka.ru/upload/offer_photo/210/087/resized/230_230_1.jpg"
"Тамсулозин ретард","таблетки покрыт.плен.об. пролонг. 400 мкг 30 шт.","Оболенское ФП, Россия","http://www.eapteka.ru/upload/offer_photo/224/493/1.jpg"
"Силденафил Вертекс таблетки 50 мг 1 шт.","упак.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/250/682/resized/230_230_1.jpg"
"Файкомпа","таблетки 8 мг, 28 шт.","Эйсай, Япония","http://www.eapteka.ru/upload/offer_photo/227/906/resized/230_230_1.jpg"
"Пирогенал","ампулы 100 мкг , 1 мл , 10 шт.","НИИ ЭМ им Гамалеи, Россия","http://www.eapteka.ru/upload/offer_photo/125/355/resized/230_230_1.jpg"
"Кординорм","таблетки 10 мг, 90 шт.","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/215/405/resized/230_230_1.jpg"
"Эдас-127","капли гомеопатические , 25 мл","Эдас, Россия","http://www.eapteka.ru/upload/offer_photo/113/257/resized/230_230_1.jpg"
"Бинафин","крем 1%, 10 г","Шрея, Индия","http://www.eapteka.ru/upload/offer_photo/206/513/1.jpg"
"Артезин","таблетки 2 мг, 30 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/208/045/resized/230_230_1.jpg"
"Галстена","капли для приема внутрь , 20 мл","Рихард Биттнер АГ, Австрия","http://www.eapteka.ru/upload/offer_photo/183/19/1.jpg"
"Октилия","глазные капли, 8 мл","С.И.Ф.И. С.п.А., Италия","http://www.eapteka.ru/upload/offer_photo/125/282/resized/230_230_1.jpg"
"Виасан-ЛФ таблетки покрыт.плен.об. 100 мг 10 шт.","упак.","Лекфарм, Россия","http://www.eapteka.ru/upload/offer_photo/250/803/resized/230_230_1.jpg"
"Нейпомакс р-р д/внутривен.и подкож. введ.30 млн. ЕД/мл 1 мл флаконы","5 шт.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/209/591/resized/230_230_1.jpg"
"Ингарон","флакон 100000 МЕ,  1 шт.","Фармаклон, Россия","http://www.eapteka.ru/upload/offer_photo/208/545/resized/230_230_1.jpg"
"АйЭнЭс (INS) Аллергия (Allergia) капсулы 60 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/022/1.png"
"Метотрексат-Эбеве р-р для инъекций 10 мг/мл  5 мл ампулы","5 шт.","Эбеве Фарма, Австрия","http://www.eapteka.ru/upload/offer_photo/219/905/1.jpg"
"Эректогенон","капсулы 500 мг, 8 шт.","ВИС, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Артродок крем 75 мл","упак.","Риа Панда, Россия","http://www.eapteka.ru/upload/offer_photo/250/390/resized/230_230_1.jpg"
"Клиндамицин р-р для в/вен. и в/мыш. введ.150 мг/мл 2 мл ампулы 10 шт.","упак.","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/105/274/resized/230_230_1.jpg"
"Березовый деготь","флакон 40 мл","Мирролла, Россия","http://www.eapteka.ru/upload/offer_photo/238/861/1.jpg"
"ЭнцеВир","ампулы 0,5 мл, 10 шт.","Микроген НПО, Россия","http://www.eapteka.ru/upload/offer_photo/206/924/resized/230_230_1.jpg"
"Фитотранзит","таблетки, 60 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/211/113/1.jpg"
"Троксерутин Зентива","капсулы 300 мг, 90 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/226/935/resized/230_230_1.jpg"
"Примафунгин","суппозитории вагинальные 100 мг 3 шт.","Анжеро-Судженский ХФЗ, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Визипак","флаконы 320 мг йода/мл, 100 мл, 10 шт.","ДжиИ Хэлскеа АС, Норвегия","http://www.eapteka.ru/upload/offer_photo/302/63/1.jpg"
"Успокой","гранулы , 10 г","Материа Медика, Россия","http://www.eapteka.ru/upload/offer_photo/657/12/1.jpg"
"Холудексан","капсулы 300 мг, 20 шт.","Сигма, Египет","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Роксера","таблетки 5 мг, 90 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/217/382/resized/230_230_1.jpg"
"Эдарби Кло таблетки покрыт.плен.об. 40 мг+25 мг 28 шт.","упак.","Такеда ГмбХ, Япония","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Парнавел","таблетки 4 мг, 30 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/220/985/1.jpg"
"Ортанол капсулы 40 мг 14 шт.","упак.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/250/630/resized/230_230_1.jpg"
"Таурин","капли глазные 4 %,  10 мл.","Обновление, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Дыши","пастилки мед и малина, 12 шт.","Аквион, Россия","http://www.eapteka.ru/upload/offer_photo/231/526/resized/230_230_1.jpg"
"Эндофальк р-р для приема внутрь 55.318 г пакетики, 6 шт.","упак.","Др Фальк, Германия","http://www.eapteka.ru/upload/offer_photo/226/970/resized/230_230_1.jpg"
"Минирин","таблетки подъязычные 60 мкг, 30 шт.","Ферринг, Германия","http://www.eapteka.ru/upload/offer_photo/213/103/1.jpg"
"АйЭнЭс (INS) Силибиол (Silibiol) капсулы 60 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/024/1.jpg"
"Кутивейт","крем 0.05% , 15 г","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/209/43/1.jpg"
"Сексуал Бойс Бэнд (BOIS BANDE) 125 мл","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/110/resized/230_230_1.jpg"
"Никоретте","таблетки подъязычные 2 мг, 100 шт.","МакНил АБ, Швеция","http://www.eapteka.ru/upload/offer_photo/223/687/resized/230_230_1.jpg"
"Кандидерм","крем, 15 г","Гленмарк, Индия","http://www.eapteka.ru/upload/offer_photo/220/319/resized/230_230_1.jpg"
"Буденит Стери-Неб","ампулы 0,25 мг/мл, 1 доза, 2 мл, 20 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/213/183/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Ультра Мега для женщин c железом и йодом (Women`s Ultra Mega) таблетки 60 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/869/resized/230_230_1.jpg"
"Черники сироп на фруктозе 250 мл","упак.","Биоинвентика, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Доппельгерц Бьюти Витамины для загара капсулы 395 мг 30 шт.","упак.","Квайссер Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/255/896/resized/230_230_1.jpg"
"Вальсакор","таблетки 160 мг, 30 шт.","КРКА, Словения","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Термикон","таблетки 250 мг, 28 шт.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/217/478/resized/230_230_1.jpg"
"Галазолин","гель назальный 0.05% , 10 г","Польфа, Польша","http://www.eapteka.ru/upload/offer_photo/110/287/resized/230_230_1.png"
"Л-Оптик Ромфарм","капли глазные 0,5%, 5 мл","Ромфарм, Румыния","http://www.eapteka.ru/upload/offer_photo/227/382/resized/230_230_1.jpg"
"Пирогенал","свечи ректальные 50+100+150+200 мг, 12 шт.","НИИ ЭМ им Гамалеи, Россия","http://www.eapteka.ru/upload/offer_photo/216/113/resized/230_230_1.jpg"
"Тримектал МВ","таблетки 35 мг, 120 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/212/820/resized/230_230_1.jpg"
"Эпитерра","таблетки покрыт.плен.об. 1 г 30 шт.","Тева, Израиль","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Целестодерм В с гарамицином","мазь 0.1% , 30 г","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/205/15/1.jpg"
"Андрокур","таблетки 100 мг, 60 шт.","Байер, Германия","http://www.eapteka.ru/upload/offer_photo/207/603/resized/230_230_1.jpg"
"Лекарь Крем с горчицей согревающий","50 мл","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/218/702/1.jpg"
"Алмагель Нео","суспензия, 170 мл","Балканфарма, Болгария","http://www.eapteka.ru/upload/offer_photo/205/418/resized/230_230_1.jpg"
"Теотард","капсулы ретард 200 мг, 40 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/988/03/1.jpg"
"Темомид","капсулы 100 мг, 5 шт.","Новалек, Индия","http://www.eapteka.ru/upload/offer_photo/214/394/resized/230_230_1.jpg"
"Каптоприл","таблетки 25 мг, 40 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/231/009/resized/230_230_1.jpg"
"Метформин МВ-Тева таблетки пролонг. действия  500 мг 60 шт.","упак.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/250/595/resized/230_230_1.jpg"
"Ципрофлоксацин","таблетки 250 мг, 10 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/226/824/resized/230_230_1.jpg"
"Био-Макс","таблетки, 60 шт.","Валента Фарма, Россия","http://www.eapteka.ru/upload/offer_photo/212/689/1.gif"
"Амоксициллин","суспензия 250 мг/5 мл , флаконы 100 мл","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/105/241/1.jpg"
"Черной смородины сироп","на фруктозе, 250 мл","Биоинвентика, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Бифидум-Мульти-1","капсулы, 30 шт.","Амфита, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Витаон","масло , 30 мл","ПО тонкого органического синтеза, Россия","http://www.eapteka.ru/upload/offer_photo/775/76/1.jpg"
"Магний","таблетки шипучие 150 мг, без сахара, 20 шт.","Хемофарм, Сербия","http://www.eapteka.ru/upload/offer_photo/219/875/resized/230_230_1.jpg"
"Палин","капсулы 200 мг, 20 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/990/84/1.jpg"
"Цифран ОД","таблетки 500 мг, 10 шт.","Сан Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/206/312/1.jpg"
"Кордиамин ампулы","ампулы 25% , 2 мл , 10 шт.","Эллара, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Иксим Люпин","суспензия 100 мг/5 мл, 25 г","Люпин, Индия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Кансидас","флаконы 70 мг , 10 мл","Мерк Шарп и Доум, США","http://www.eapteka.ru/upload/offer_photo/206/907/resized/230_230_1.jpg"
"Санпраз","таблетки 40 мг, 10 шт.","Сан Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/217/239/1.jpg"
"Энзапрост Ф","ампулы 5 мг/мл , 1 мл , 5 шт.","Санофи-Авентис, Франция","http://www.eapteka.ru/upload/offer_photo/216/24/1.jpg"
"Кларитромицин","таблетки 500 мг, 14 шт.","Вертекс, Россия","http://www.eapteka.ru/upload/offer_photo/248/822/1.jpg"
"Доктор Тайсс Сироп от кашля с подорожником","100 мл","Доктор Тайсс Натурварен ГмбХ, Германия","http://www.eapteka.ru/upload/offer_photo/203/415/1.jpg"
"Мемоплант","таблетки 120 мг, 30 шт.","Немецкий Гомеопатический Союз, Германия","http://www.eapteka.ru/upload/offer_photo/233/84/1.jpg"
"Волювен","флакон 6%, 500 мл, 10 шт.","Фрезениус Каби, Германия","http://www.eapteka.ru/upload/offer_photo/212/960/1.gif"
"Ронколейкин р-р для инфузий и п/кожн. введ. 0,25 мг/мл ампулы 1 мл .","3 шт.","БИОТЕХ НПК, Россия","http://www.eapteka.ru/upload/offer_photo/445/58/resized/230_230_1.jpg"
"Леветон П","таблетки 500 мг, 60 шт.","Парафарм, Россия","http://www.eapteka.ru/upload/offer_photo/212/280/1.jpg"
"Биосулин Н суспензия для п/кожн.введ.100 МЕ/мл картридж+шприц-ручка Биоматик Пен2 3 мл 5 шт.","упак.","Фармстандарт-Уфавита, Россия","http://www.eapteka.ru/upload/offer_photo/259/520/resized/230_230_1.jpg"
"Микразим капсулы 40000 ЕД  50 шт.","упак.","Авва Рус, Россия","http://www.eapteka.ru/upload/offer_photo/259/541/1.jpg"
"Стоптуссин","капли для приема внутрь, 25 мл","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/212/939/resized/230_230_1.jpg"
"Тобрекс 2Х","глазные капли 0.3% , 5 мл","Алкон, США","http://www.eapteka.ru/upload/offer_photo/222/222/resized/230_230_1.jpg"
"Лизиноприл","таблетки 10 мг, 50 шт.","Северная Звезда, Россия","http://www.eapteka.ru/upload/offer_photo/233/715/resized/230_230_1.jpg"
"Стопдиар","суспензия 220 мг/5 мл, 90 мл","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/227/275/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Боярышник 150 мг (Hawthorn 150 mg) капсулы 100 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/889/resized/230_230_1.jpg"
"Курдлипид С6 гранулы гомеопатические","10 г","ОЛЛО ООО, Россия","http://www.eapteka.ru/upload/offer_photo/241/282/1.png"
"Антистен МВ","таблетки 35 мг, 60 шт.","Озон, Россия","http://www.eapteka.ru/upload/offer_photo/223/550/resized/230_230_1.jpg"
"Валз Н таблетки покрыт.плен.об. 320 мг+12,5 мг","28 шт.","Актавис, Швейцария","http://www.eapteka.ru/upload/offer_photo/259/292/1.jpg"
"Эсмия","таблетки 5 мг, 28 шт.","Гедеон Рихтер, Венгрия","http://www.eapteka.ru/upload/offer_photo/218/827/resized/230_230_1.jpg"
"Кашлестопы","сироп солодки с бузиной при мокром кашле, 250 мл","Багира, Россия","http://www.eapteka.ru/upload/offer_photo/224/746/resized/230_230_1.jpg"
"Ибупрофен-Акрихин","суспензия 100 мг/5 мл 100 г","Акрихин, Россия","http://www.eapteka.ru/upload/offer_photo/242/922/1.jpg"
"Имофлора","таблетки жевательные 600 мг 20 шт","Хансен, Дания","http://www.eapteka.ru/upload/offer_photo/235/015/resized/230_230_1.jpg"
"ДжиЭнСи (GNC) Ультра Мега для женщин c железом и йодом (Women`s Ultra Mega) таблетки 120 шт.","упак.","Дженерал Нутришн Сентерс, США","http://www.eapteka.ru/upload/offer_photo/251/868/resized/230_230_1.jpg"
"Кетонал Термо","пластырь разогревающий, 10 шт.","Сандоз, Швейцария","http://www.eapteka.ru/upload/offer_photo/214/765/resized/230_230_1.jpg"
"АйЭнЭс (INS) Асидо-Бейс (Acido-Base) капсулы 90 шт.","упак.","Лаборатории Инелдиа, Франция","http://www.eapteka.ru/upload/offer_photo/256/038/resized/230_230_1.jpg"
"Монакс","таблетки жевательные 4 мг, 28 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/227/696/resized/230_230_1.jpg"
"Октреотид","ампулы 0.01%, 1 мл, 10 шт.","Фарм-Синтез, Россия","http://www.eapteka.ru/upload/offer_photo/204/204/1.jpg"
"ВитаМишки Мульти+","пастилки, 30 шт.","Фарма-Мед, Канада","http://www.eapteka.ru/upload/offer_photo/221/023/resized/230_230_1.jpg"
"Аводарт","капсулы 50 мкг, 90 шт.","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/207/978/resized/230_230_1.jpg"
"Нарин (Nahrin) Фортивен капсулы 29 г","упак.","Нарин, Швейцария","http://www.eapteka.ru/upload/offer_photo/251/098/resized/230_230_1.jpg"
"Троксерутин Зентива","капсулы 300 мг, 30 шт.","Зентива, Чехия","http://www.eapteka.ru/upload/offer_photo/104/060/resized/230_230_1.jpg"
"Кадуэт","таблетки 10 мг+10 мг, 30 шт.","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/210/934/resized/230_230_1.jpg"
"Теванат","таблетки 70 мг, 12 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/213/000/1.jpg"
"Стевия раствор Натуральный","пласт. флакон 30 мл","Куфу Хайген Стевия Продактс Ко, Китай","http://www.eapteka.ru/upload/offer_photo/244/125/resized/230_230_1.jpg"
"Аминостерил N-Гепа р-р для инфузий 8%  500 мл флаконы","10 шт.","Фрезениус Каби, Германия","http://www.eapteka.ru/upload/offer_photo/216/816/resized/230_230_1.jpg"
"Тинктал","сироп, 250 мл","ВИС, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Коронаритм","таблетки, 60 шт.","Эвалар, Россия","http://www.eapteka.ru/upload/offer_photo/227/439/resized/230_230_1.jpg"
"Викс Актив АмброМед","сироп 30 мг/5 мл, 120 мл","Тева, Израиль","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Рыбий жир Биафишенол с витамином Е капсулы 100 шт.","упак.","Дель Риос, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Нэйчес Баунти Железо","таблетки 28 мг, 100 шт.","Нэйчес Баунти, США","http://www.eapteka.ru/upload/offer_photo/217/983/resized/230_230_1.jpg"
"Зилт","таблетки 75 мг, 14 шт.","КРКА, Словения","http://www.eapteka.ru/upload/offer_photo/208/402/resized/230_230_1.jpg"
"Микройодид","таблетки 100 мкг 100 шт.","Татхимфармпрепараты, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Пентаглобин","флаконы 5% , 50 мл","Биотест Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/230/42/resized/230_230_1.jpg"
"Красная щетка мерцана","раствор 50 мл","Курортмедсервис, Россия","http://www.eapteka.ru/upload/offer_photo/236/227/resized/230_230_1.jpg"
"Симпатил","таблетки, 40 шт.","Иннотера Шузи, Франция","http://www.eapteka.ru/upload/offer_photo/223/081/resized/230_230_1.jpg"
"Пивные дрожжи","дрожжи с серой 100шт.","Свободный 20 ЗАО, Россия","http://www.eapteka.ru/upload/offer_photo/241/677/1.jpg"
"Кетотифен","сироп , 100 мл","Софарма, Болгария","http://www.eapteka.ru/upload/offer_photo/111/489/1.jpg"
"Артрозан","таблетки 7,5 мг, 20 шт.","Фармстандарт, Россия","http://www.eapteka.ru/upload/offer_photo/210/322/1.jpg"
"Кутивейт","мазь 0.005% , 15 г","ГлаксоСмитКляйн, Великобритания","http://www.eapteka.ru/upload/offer_photo/209/44/resized/230_230_1.jpg"
"Ринотайсс","аэрозоль 0.1% , 10 мл","Доктор Тайсс Натурварен ГмбХ, Германия","http://www.eapteka.ru/upload/offer_photo/116/462/resized/230_230_1.jpg"
"Коринфар","табл. покрыт.плен.об.пролонг. д-я 10 мг 100 шт.","Тева, Израиль","http://www.eapteka.ru/upload/offer_photo/225/58/1.jpg"
"Холесенол","капсулы, 36 шт.","ВИС, Россия","http://www.eapteka.ru/upload/offer_photo/221/947/resized/230_230_1.jpg"
"Стрептоцидовая мазь","10% , 25 г","Тульская фармфабрика, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Панум","таблетки 40 мг, 20 шт.","Юник Фармасьютикал, Индия","http://www.eapteka.ru/upload/offer_photo/217/226/resized/230_230_1.jpg"
"Козаар","таблетки 100 мг, 28 шт.","Мерк Шарп и Доум, США","http://www.eapteka.ru/upload/offer_photo/118/579/resized/230_230_1.jpg"
"Глюкоза раствор для инфузий 10% флаконы 200 мл","24 шт.","Красфарма, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Пабал","ампулы 100 мкг/мл, 1 мл, 5 шт.","Ферринг, Германия","http://www.eapteka.ru/upload/offer_photo/226/647/resized/230_230_1.jpg"
"Депо-Провера","флаконы 150 мг , 1 мл","Пфайзер, США","http://www.eapteka.ru/upload/offer_photo/113/565/resized/230_230_1.jpg"
"Джардинс таблетки покрыт.плен.об. 10 мг 10 шт.","упак.","Берингер Ингельхайм, Австрия","http://www.eapteka.ru/upload/offer_photo/250/349/resized/230_230_1.jpg"
"Живокост","бальзам для тела окопник 125 мл","КоролевФарм, Россия","http://www.eapteka.ru/upload/offer_photo/237/001/resized/230_230_1.jpg"
"Доппельгерц Актив Антистресс","таблетки, 30 шт.","Квайссер Фарма, Германия","http://www.eapteka.ru/upload/offer_photo/216/391/1.jpg"
"Крушины кора","фильтрпакетики 1,5 г, 20 шт.","Красногорсклексредства, Россия","http://www.eapteka.ru/upload/offer_photo/204/909/resized/230_230_1.jpg"
"Верошпилактон","капс. 50 мг, 30 шт.","Оболенское ФП, Россия","http://www.eapteka.ru/upload/offer_photo/230/872/resized/230_230_1.jpg"
"Будесонид-Натив","р-р для ингаляций  250 мкг/мл, 2 мл флаконы 10 шт.","Натива, Россия","http://www.eapteka.ru/local/templates/adaptive/img/no-photo.png"
"Элоком-С","мазь, 15 г","Шеринг-Плау, США","http://www.eapteka.ru/upload/offer_photo/206/939/1.jpg"
"Ливео 4","капсулы 277 мг, 15 шт.","Сагитас, Латвия","http://www.eapteka.ru/upload/offer_photo/221/511/resized/230_230_1.jpg"
"Дофамин","ампулы 0.5% , 5 мл , 10 шт.","Брынцалов, Россия","http://www.eapteka.ru/upload/offer_photo/458/84/1.jpg"
